questions,model_answer,student_answer,teacher_marks,total_marks
Is a river living? Why?,No - water moves but doesn't grow/reproduce,"""Yes, because fish live in it.""",0,5
How do we know corals are alive?,"They grow, reproduce, and respond to environment","""They look like rocks but are colorful.""",0,5
Why is an apple non-living after picked?,It can't grow or reproduce anymore,"""Because it's in the fridge now.""",0,5
Is a mushroom living? Why?,"Yes - fungi grow, reproduce, and need nutrients","""No, because people cook them.""",0,5
How do living things change as they grow?,"Get bigger, develop new features, mature","""They get more expensive.""",0,5
Why is a cloud not alive?,"Doesn't grow, reproduce, or have cells","""Because it's made of cotton candy.""",0,5
Is an egg living? Why?,Fertilized eggs are; store eggs aren't,"""No, because eggs come from the store.""",0,5
What's the difference between plants and rocks?,"Plants are living (grow, reproduce); rocks aren't","""Plants are green, rocks are gray.""",0,5
Is bread with yeast living?,The yeast organisms are alive,"""No, because bread is just flour and water.""",0,5
Why do living things reproduce?,To continue their species,"""To make the world more crowded.""",0,5
Is a virus living? Why?,Debate - can't reproduce without host; no cells,"""Yes, because it can make you sick.""",0,5
How do trees show they're alive?,"Grow, produce seeds, respond to seasons","""They stay in one place forever.""",0,5
Why is a plastic plant non-living?,Doesn't grow or need energy,"""Because it's not expensive enough.""",0,5
Is soil living? Why?,Contains living things but soil itself isn't alive,"""Yes, because it's dirty.""",0,5
How do fish show they're living?,"Swim, eat, grow, reproduce, respond to environment","""They float in water and look pretty.""",0,5
Why is sunlight non-living?,Doesn't have cells or life processes,"""Because it's too bright to see.""",0,5
Is a chicken bone living? Why?,Not unless it has living cells/tissue,"""Yes, because bones are white and hard.""",0,5
What's the difference between a robot and animal?,Animals are living; robots are man-made machines,"""Robots are smarter than animals.""",0,5
Is a seashell living? Why?,Only when occupied by mollusk; empty shell isn't,"""Yes, because you can hear the ocean in it.""",0,5
Why do living things need water?,For chemical reactions and life processes,"""Because water is wet.""",0,5
Is a feather living? Why?,No - made of keratin like hair; no cells,"""Yes, because birds are alive.""",0,5
How do bacteria show they're living?,"Reproduce, respond to environment, need energy","""They make food go bad.""",0,5
Why is a diamond non-living?,Doesn't grow or change; mineral structure,"""Because it's too valuable to be alive.""",0,5
Is a log in a fireplace living?,No - wood is dead plant material,"""Yes, because it burns and makes heat.""",0,5
How do flowers show they're alive?,"Grow, reproduce through seeds, respond to light","""They smell nice for people.""",0,5
Why is a computer not alive?,Doesn't grow or reproduce; no cells,"""Because it needs electricity.""",0,5
Is an apple tree in winter alive?,Yes - dormant but still has living cells,"""No, because it looks dead.""",0,5
What's the difference between a bird and airplane?,"Bird is living (cells, reproduction); plane is machine","""Airplanes are bigger than birds.""",0,5
Is honey living? Why?,No - made by bees but no life processes,"""Yes, because bees made it.""",0,5
Why do living things need air?,For respiration (animals) or photosynthesis (plants),"""Because space has no air.""",0,5
Is a cactus in the desert living?,Yes - shows all life processes,"""No, because it's too dry there.""",0,5
Why is a snowflake non-living?,Crystal structure; no cells or life processes,"""Because it melts too fast.""",0,5
Is a chicken egg in fridge living?,Fertilized: potentially; unfertilized: no,"""No, because it's too cold.""",0,5
How do worms show they're alive?,"Move, eat, reproduce, respond to touch","""They're gross and slimy.""",0,5
Why is a balloon non-living?,Doesn't grow or need energy,"""Because it pops easily.""",0,5
Is a leaf on a tree living?,Yes - performing photosynthesis and growing,"""No, because it's just part of the tree.""",0,5
What's the difference between a butterfly and toy butterfly?,"Real one is living (cells, reproduction); toy is plastic","""Toy butterflies are cheaper.""",0,5
Is a cut flower in vase living?,Briefly - cells still active but can't reproduce long,"""Yes, because it still looks pretty.""",0,5
What causes smog in cities?,"Ground-level ozone and particulate matter from vehicle emissions, factories, and chemical reactions in sunlight.",Cars and factories make dirty air.,3,5
Why is carbon monoxide dangerous?,"Binds to hemoglobin 200x more than oxygen, preventing oxygen transport in blood.",It's bad to breathe.,3,5
How does acid rain form?,"Sulfur dioxide/nitrogen oxides mix with water vapor, creating sulfuric/nitric acid.",Dirty rain from pollution.,3,5
What are CFCs and why are they harmful?,Chlorofluorocarbons that destroy ozone molecules in the stratosphere.,Spray cans hurt the sky.,3,5
Why are wildfires becoming more severe?,Climate change increases droughts and heat waves; human encroachment on wildlands.,It's getting hotter so fires spread.,3,5
How do oil spills harm marine life?,"Oil coats animals' bodies, causes poisoning, and destroys food chains.",Fish get stuck in oil.,3,5
What is eutrophication?,Excess nutrients (nitrogen/phosphorus) cause algal blooms that deplete oxygen.,Too much plant food in water.,3,5
Why are microplastics dangerous?,"Absorb toxins, enter food chains, and accumulate in organisms over time.",Tiny plastics hurt fish.,3,5
How does industrial waste pollute rivers?,Heavy metals and toxic chemicals kill aquatic life and contaminate drinking water.,Factories dump bad stuff.,3,5
"What causes ""dead zones"" in oceans?","Decomposing algae consume oxygen, creating hypoxic areas where life can't survive.",No oxygen in water.,3,5
Why are landfills problematic?,Produce methane (a potent GHG) and leachate that contaminates groundwater.,Trash piles smell bad.,3,5
How long does plastic take to decompose?,"450-1,000 years depending on type (e.g., bottles vs. bags).",Plastic never goes away.,3,5
What is electronic waste (e-waste)?,"Discarded electronics containing toxic heavy metals (lead, mercury).",Old phones and computers.,3,5
Why is pesticide overuse harmful?,"Kills beneficial insects, contaminates soil/water, and enters food chains.",Sprays kill good bugs too.,3,5
How does deforestation cause pollution?,Soil erosion increases sedimentation in waterways; burning releases CO?.,Cutting trees makes dirt wash away.,3,5
How do greenhouse gases warm Earth?,Trap infrared radiation that would otherwise escape to space.,They make heat stay.,3,5
Why is permafrost melting dangerous?,Releases stored methane and disrupts Arctic ecosystems.,Frozen ground is melting.,3,5
What is the ocean's role in climate regulation?,Absorbs 30% of CO? and 90% of excess heat from global warming.,Water takes in heat.,3,5
"How do cities create ""heat islands""?",Concrete/asphalt absorb and re-radiate heat; lack of vegetation reduces cooling.,Cities are hotter.,3,5
Why are coral reefs dying?,Ocean acidification and warming cause bleaching (algae expulsion).,The water is too hot.,3,5
How does recycling help the environment?,"Reduces landfill waste, conserves resources, and lowers energy use.",Turns trash into new things.,3,5
Why are renewable energies important?,Replace fossil fuels to cut emissions and reduce air/water pollution.,Sun/wind don't run out.,3,5
What is carbon sequestration?,"Capturing/storing CO? (e.g., in forests, soil, or underground).",Putting carbon somewhere safe.,3,5
How do wetlands reduce pollution?,Filter sediments/nutrients; absorb floodwaters; store carbon.,Swamps clean water.,3,5
Why is composting beneficial?,Diverts organic waste from landfills and enriches soil naturally.,Food turns into dirt.,3,5
How does air pollution affect lungs?,"Particulates cause inflammation, asthma, and chronic respiratory diseases.",Makes breathing hard.,3,5
Why is lead in water dangerous?,"Damages nervous systems, especially in children, causing developmental delays.",Poison for kids.,3,5
What are PM2.5 particles?,Fine particulates (<2.5'm) that penetrate deep into lungs and bloodstream.,Tiny dust that hurts.,3,5
How does noise pollution impact health?,"Increases stress, sleep disturbances, and cardiovascular risks.",Loud sounds are bad.,3,5
Why are pesticides in food harmful?,"Linked to cancers, hormone disruption, and neurological problems.",Sprays on food are yucky.,3,5
How does pollution affect pollinators?,Pesticides kill bees; habitat loss reduces food sources.,Bees are disappearing.,3,5
Why are invasive species problematic?,"Outcompete natives, disrupt food webs, and alter ecosystems.",New animals take over.,3,5
What is biomagnification?,"Toxins (e.g., mercury) concentrate up food chains, affecting top predators most.",Poison piles up in animals.,3,5
How does light pollution affect wildlife?,"Disorients migratory birds, disrupts predator-prey cycles, and alters plant growth.",Too much light at night.,3,5
Why are top predators vulnerable to pollution?,Accumulate highest toxin loads through biomagnification.,Big animals get sick.,3,5
What does the Paris Agreement aim to do?,Limit global warming to <2'C above pre-industrial levels.,Countries promise to pollute less.,3,5
Why are plastic bag bans effective?,Reduce single-use plastic waste that harms wildlife and clogs waterways.,No more shopping bags.,3,5
What is cap-and-trade for emissions?,Sets pollution limits; companies can buy/sell allowances to incentivize reductions.,Factories trade pollution.,3,5
How do emission standards help?,Require vehicles/industries to limit pollutants like NOx and particulate matter.,Rules for clean machines.,3,5
Why is environmental education important?,Empowers people to make sustainable choices and advocate for policy changes.,Teaches kids to care.,3,5
What is the Great Pacific Garbage Patch?,"A gyre of concentrated marine debris, mostly microplastics, in the North Pacific.",Trash island in ocean.,3,5
Why are batteries hazardous waste?,"Contain heavy metals (lead, cadmium) that leach into soil/water.",Old batteries are poison.,3,5
How does overfishing pollute oceans?,"Disrupts food webs, causes algal blooms from nutrient imbalances, and destroys habitats.",Too many fish caught.,3,5
What is thermal pollution?,"Industrial cooling water raises river temps, reducing oxygen and killing species.",Hot water hurts fish.,3,5
Why are wildfires a pollution source?,"Release CO?, particulate matter, and toxic compounds from burned materials.",Smoke makes air dirty.,3,5
How does litter harm animals?,"Entanglement, ingestion, and habitat contamination (e.g., plastic in nests).",Trash kills creatures.,3,5
What is nitrogen pollution?,Excess reactive nitrogen from fertilizers causes algal blooms and air/water toxicity.,Too much plant food.,3,5
Why are old mines polluting?,Acid mine drainage releases heavy metals and sulfuric acid into waterways.,Holes in ground leak bad stuff.,3,5
How do volcanoes pollute?,"Release SO? (acid rain), ash (respiratory hazards), and CO? (greenhouse gas).",Eruptions make dirty air.,3,5
"What is ""fast fashion"" pollution?","Textile waste (microfibers, dyes) and high carbon footprint from clothing production.",Too many clothes thrown out.,3,5
What are natural resources?,"Resources that are obtained from nature like air, water, and minerals.",Natural resources are things we use.,2,5
Name two renewable natural resources.,Sunlight and wind.,Air and food.,2,5
Name two non-renewable natural resources.,Coal and petroleum.,Stone and wood.,2,5
Why is sunlight considered a renewable resource?,Because it is continuously available and cannot be exhausted.,Because it is very hot.,2,5
Why is coal considered a non-renewable resource?,Because it takes millions of years to form and cannot be replaced quickly.,Because it burns and finishes.,2,5
Define renewable resources.,Resources that can be replenished naturally in a short time.,Resources that are used again.,2,5
Define non-renewable resources.,Resources that cannot be replaced quickly once used.,Resources that are used once.,2,5
Give one example of a renewable resource used for energy.,Solar energy.,Heat.,2,5
Give one example of a non-renewable energy source.,Petroleum.,Fire.,2,5
List three renewable resources.,"Sunlight, wind, and water.","Water, clouds, and light.",2,5
List three non-renewable resources.,"Coal, petroleum, and natural gas.","Gas, fuel, and diesel.",2,5
How do humans use natural resources?,"For food, shelter, fuel, and making goods.",Humans use them daily.,2,5
What happens if non-renewable resources are overused?,They may run out and harm the environment.,It will be a problem.,2,5
How can we conserve natural resources?,"By using them wisely, recycling, and finding alternatives.",Not wasting them.,2,5
Which resource is used in hydroelectric power plants?,Water.,Electricity.,2,5
Why is wind considered a clean energy resource?,Because it does not cause pollution.,Because it is fast.,2,5
What is biomass?,Organic material from plants and animals used as fuel.,It is green plants.,2,5
Give an example of how we waste natural resources.,Leaving lights on when not in use.,Throwing things.,2,5
What is the main use of petroleum?,To produce fuels like petrol and diesel.,For driving.,2,5
What is geothermal energy?,Heat energy from inside the Earth.,Hot water underground.,2,5
Why is nuclear energy considered non-renewable?,Because it uses uranium which is limited.,It is dangerous.,2,5
How is solar energy captured?,Using solar panels.,Through the sun.,2,5
What is the main disadvantage of non-renewable resources?,They cause pollution and can run out.,They are dirty.,2,5
What type of resource is natural gas?,Non-renewable resource.,Air resource.,2,5
Why should we protect forests?,"Because they provide oxygen, habitat, and resources.",Trees are important.,2,5
What resource is essential for all living things?,Water.,Food.,2,5
How is coal formed?,From dead plants buried under earth over millions of years.,It is found in ground.,2,5
What is meant by sustainability?,Using resources in a way that they last for future generations.,Saving stuff.,2,5
How is water a renewable resource?,It gets renewed through the water cycle.,It rains.,2,5
Why is plastic not considered a natural resource?,Because it is man-made from chemicals.,It is artificial.,2,5
What are fossil fuels?,Fuels formed from ancient plants and animals like coal and oil.,Old fuels.,2,5
Which energy resource is used in solar cookers?,Solar energy.,Heat.,2,5
Is wood renewable or non-renewable?,Renewable if managed properly.,Both.,2,5
Name one way to reduce use of non-renewables.,Use more renewable energy like solar.,Use less.,2,5
Which type of resource is wind energy?,Renewable.,Natural.,2,5
Give two uses of natural gas.,Cooking and heating.,Burning.,2,5
Which metal is obtained from natural resources?,Iron.,Metal.,2,5
What is meant by resource depletion?,Using resources faster than they are replaced.,Finishing them.,2,5
What are minerals?,Natural solid substances found in Earth used for various purposes.,Hard rocks.,2,5
Name a resource used to make electricity.,Coal.,Battery.,2,5
Why should we switch to renewable resources?,To protect the environment and save non-renewables.,Because it's better.,2,5
How is wind used to generate electricity?,By rotating wind turbines.,Wind moves fans.,2,5
Name a renewable resource used in agriculture.,Water.,Sun.,2,5
What are man-made resources?,Resources made by humans from natural resources.,Artificial things.,2,5
How is petroleum formed?,From remains of ancient sea organisms buried under layers of earth.,Underground oil.,2,5
What is the role of sunlight in the environment?,Provides energy for plants and life processes.,It is bright.,2,5
Name two countries rich in oil resources.,Saudi Arabia and Russia.,Arab and Africa.,2,5
Why is conservation important?,To ensure resources are available for future generations.,To save them.,2,5
What happens when forests are cut down?,"Loss of biodiversity, oxygen, and increased pollution.",Bad things happen.,2,5
Which resource is important for agriculture?,Soil and water.,Land.,2,5
What is weather?,The daily condition of the atmosphere at a place.,The air outside today.,3,5
What is climate?,The average weather pattern in a region over a long time.,Weather over many weeks.,3,5
How is weather different from climate?,Weather changes daily; climate is long-term.,Climate stays same every day.,3,5
What does a thermometer measure?,Temperature.,It tells hot or cold.,3,5
What does a barometer measure?,Air pressure.,It shows pressure of air.,3,5
What is an anemometer used for?,Measuring wind speed.,It tells about wind.,3,5
What does a rain gauge measure?,Amount of rainfall.,It collects rainwater.,3,5
What is humidity?,The amount of water vapor in the air.,Moisture in the air.,3,5
What is precipitation?,Any form of water falling from clouds to Earth.,Rain or snow that comes down.,3,5
Name three types of precipitation.,"Rain, snow, hail.","Rain, snow, fog.",3,5
What is temperature?,A measure of how hot or cold something is.,How hot it is.,3,5
What causes wind?,Movement of air from high to low pressure.,Air moves around.,3,5
What is air pressure?,The force of air pushing on Earth's surface.,How strong the air is.,3,5
What is cloud cover?,The amount of the sky covered by clouds.,Clouds in the sky.,3,5
What are cumulus clouds?,Puffy white clouds often seen in fair weather.,Clouds that look like cotton.,3,5
What are stratus clouds?,"Flat, gray clouds covering the sky like a blanket.",Long clouds that are low.,3,5
What are cirrus clouds?,"Thin, wispy clouds high in the sky.",Clouds that are high and thin.,3,5
What are nimbus clouds?,Clouds that bring rain.,Rain clouds.,3,5
What is a cold front?,A boundary where a cold air mass replaces a warm one.,Cold air pushing warm air.,3,5
What is a warm front?,A boundary where warm air moves over cold air.,Warm air goes over cold.,3,5
What is a thunderstorm?,"A storm with lightning, thunder, and heavy rain.",Storm with loud sound and rain.,3,5
What causes lightning?,Discharge of electricity during a storm.,Electric light in sky.,3,5
What is a tornado?,A rotating column of air extending from a storm to the ground.,Big spinning air storm.,3,5
What is a hurricane?,A large tropical storm with strong winds and rain.,A big storm with wind.,3,5
What is a drought?,A long period without rain.,When there is no rain.,3,5
What is a flood?,Overflow of water onto normally dry land.,Too much water everywhere.,3,5
What is a blizzard?,A severe snowstorm with strong winds.,Snow falling with strong wind.,3,5
What is fog?,A cloud that forms near the ground.,Mist close to the ground.,3,5
What is dew?,Water droplets that form on surfaces in the morning.,Drops seen on grass in morning.,3,5
What is frost?,Ice crystals forming on surfaces when temperatures drop below freezing.,Ice seen early morning.,3,5
What is the water cycle?,"The continuous movement of water through evaporation, condensation, and precipitation.",Water goes up and comes down.,3,5
What is evaporation?,The process where liquid water turns into vapor.,Water drying up.,3,5
What is condensation?,Water vapor turning into liquid.,Water forming from air.,3,5
What is runoff?,Water flowing over land into bodies of water.,Water that goes in rivers.,3,5
What is climate change?,Long-term changes in temperature and weather patterns.,Weather changes for years.,3,5
What is global warming?,The increase in Earth's average temperature.,Earth getting hotter.,3,5
What are greenhouse gases?,Gases that trap heat in the atmosphere.,Bad gases in the air.,3,5
Name two greenhouse gases.,Carbon dioxide and methane.,Smoke and dust.,3,5
What is the greenhouse effect?,The process by which greenhouse gases trap heat.,Earth becoming warm like a greenhouse.,3,5
What causes climate change?,Human activities like burning fossil fuels.,Factories and cars.,3,5
How can we reduce climate change?,Use clean energy and reduce pollution.,Plant trees.,3,5
What do meteorologists do?,Study and forecast weather.,People who say tomorrow's weather.,3,5
What is a weather map?,A map that shows weather conditions over an area.,Map with weather signs.,3,5
How does latitude affect climate?,Areas near the equator are warmer than the poles.,"Near middle is hot, far is cold.",3,5
What is a weather front?,A boundary between two different air masses.,Where two air types meet.,3,5
What is El Ni'o?,A climate pattern that brings warm ocean water to South America.,Ocean gets warmer sometimes.,3,5
What is La Ni'a?,A pattern of cooler than normal ocean temperatures in the Pacific.,Ocean gets cold and changes weather.,3,5
How do mountains affect climate?,They block air and change temperature and rainfall.,Mountains make rain or cold.,3,5
How do oceans affect weather?,Oceans store heat and affect wind and rain.,Oceans change climate.,3,5
What is a monsoon?,A seasonal wind that brings heavy rain.,Big rainy season.,3,5
Why is weather forecasting important?,To prepare for storms and plan activities.,It tells us what to do.,3,5
What is a heat wave?,A period of very hot weather.,Days that are very hot.,3,5
What is a weather satellite?,A satellite that monitors weather patterns from space.,It sees weather from above.,3,5
What is wind chill?,The cooling effect of wind on temperature.,When cold feels colder.,3,5
What is a rain shadow?,A dry area on the leeward side of a mountain.,Less rain behind mountains.,3,5
What are trade winds?,Steady winds near the equator.,Winds blowing in tropics.,3,5
What are jet streams?,Fast flowing air currents high in the atmosphere.,Fast wind above clouds.,3,5
What is a hygrometer used for?,Measuring humidity.,It tells how wet the air is.,3,5
What is UV index?,A measure of ultraviolet radiation from the sun.,How strong the sun is.,3,5
What is an ice storm?,A storm with freezing rain that forms ice on surfaces.,Rain that turns into ice.,3,5
What is the ozone layer?,A layer of gas in the atmosphere that protects from UV rays.,It blocks sun's rays.,3,5
What happens during a cold snap?,Sudden drop in temperature for a few days.,Cold comes quickly.,3,5
What is weathering?,Breaking down of rocks by weather.,Rocks break by air or water.,3,5
What is erosion?,Movement of soil and rock by wind or water.,Land gets moved.,3,5
What is albedo?,The amount of sunlight reflected by a surface.,How light bounces off Earth.,3,5
What are polar climates like?,Very cold with ice and snow most of the year.,Freezing cold always.,3,5
What are tropical climates like?,Hot and wet all year round.,It rains and stays warm.,3,5
What are temperate climates like?,Moderate temperatures with four seasons.,Cold and hot mix.,3,5
What is climate zone?,A region with similar climate patterns.,Area with same weather.,3,5
What is the role of clouds in weather?,"They bring rain, shade, or snow.",They show what weather comes.,3,5
What is the solar system?,The solar system is a group of planets and other celestial bodies that orbit the Sun.,It has planets and the Sun.,1,5
Name all the planets in the solar system.,"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.","Mercury, Venus, and Earth.",1,5
Which planet is closest to the Sun?,Mercury.,"Mercury, I think.",1,5
Which planet is known as the Red Planet?,Mars.,It is red.,1,5
Which planet do we live on?,Earth.,Our planet.,1,5
Which is the largest planet in the solar system?,Jupiter.,It's big.,1,5
What is the smallest planet?,Mercury.,Smallest is Mercury maybe.,1,5
What is the Sun?,The Sun is a star at the center of our solar system.,Sun gives light.,1,5
How many moons does Earth have?,One.,Just one moon.,1,5
Which planet has rings around it?,Saturn.,It has rings.,1,5
Which planet is known for its beautiful rings?,Saturn.,Saturn has rings.,1,5
What is a moon?,A moon is a natural satellite that orbits a planet.,Moon goes around Earth.,1,5
What is the role of the Sun in the solar system?,It provides light and heat and keeps planets in orbit.,It gives light.,1,5
What keeps planets in orbit around the Sun?,Gravity.,Sun pulls them.,1,5
What is the shape of the planets' orbits?,Elliptical.,They go in circles.,1,5
What is the asteroid belt?,A region between Mars and Jupiter filled with asteroids.,It has rocks.,1,5
What are asteroids?,Small rocky bodies that orbit the Sun.,Like rocks in space.,1,5
What are comets made of?,"Ice, dust, and rocky materials.",Ice and dust.,1,5
What is a comet?,A small icy body that orbits the Sun and has a tail.,Has a tail.,1,5
Which planet is tilted on its side?,Uranus.,Uranus is different.,1,5
What is a dwarf planet?,A celestial body that orbits the Sun but is not classified as a planet due to its size.,A small planet.,1,5
Name one dwarf planet.,Pluto.,Pluto is one.,1,5
Why is Pluto no longer a planet?,Because it does not meet all criteria defined for planets.,It's small.,1,5
Which planet is known as the 'Blue Planet'?,Earth.,Because of water.,1,5
What planet is farthest from the Sun?,Neptune.,It is very far.,1,5
Which planet has the fastest orbit?,Mercury.,It moves fast.,1,5
What is the Kuiper Belt?,A region beyond Neptune filled with icy bodies.,It's after Neptune.,1,5
What is the Oort Cloud?,A distant cloud of icy objects surrounding the solar system.,It's far away.,1,5
What is rotation?,The spinning of a planet on its axis.,Spinning of a planet.,1,5
What is revolution?,The movement of a planet around the Sun.,It goes around Sun.,1,5
How long does Earth take to rotate once?,24 hours.,One day.,1,5
How long does Earth take to revolve around the Sun?,365 days or 1 year.,One year.,1,5
What causes day and night?,Earth's rotation on its axis.,Earth turns.,1,5
What causes the seasons?,Earth's tilt and its revolution around the Sun.,Tilted Earth.,1,5
Why do planets orbit the Sun?,Because of the Sun's gravity.,Sun pulls planets.,1,5
What is the second planet from the Sun?,Venus.,Venus is second.,1,5
Which planet is known as Earth's twin?,"Venus, because it is similar in size and composition.",It's like Earth.,1,5
Which planet is known for its Great Red Spot?,Jupiter.,It has a big spot.,1,5
What is the Great Red Spot?,A massive storm on Jupiter.,It's a storm.,1,5
Which planet has the most moons?,Jupiter.,Jupiter has many.,1,5
What is the temperature like on Mercury?,Very hot during the day and very cold at night.,Hot and cold.,1,5
What is unique about Venus's rotation?,It rotates in the opposite direction to most planets.,It spins different.,1,5
What gives Mars its red color?,Iron oxide (rust) on its surface.,It has iron.,1,5
What is the atmosphere of Jupiter mostly made of?,Hydrogen and helium.,Gases.,1,5
Which gas is most found in Saturn's atmosphere?,Hydrogen.,Gas like hydrogen.,1,5
What planet has the coldest surface temperature?,Neptune.,Very cold there.,1,5
Which planets are called gas giants?,Jupiter and Saturn.,Big planets.,1,5
Which planets are ice giants?,Uranus and Neptune.,They are cold.,1,5
Which planet has the shortest day?,Jupiter.,Day is short.,1,5
Which planet has a blue-green color?,Uranus.,It looks blue.,1,5
What is a satellite?,A natural or artificial object that orbits a planet.,Something that goes around.,1,5
What are artificial satellites used for?,"Communication, weather forecasting, navigation, and research.",Help in things.,1,5
What is a space probe?,An unmanned spacecraft sent to explore space.,It goes to space.,1,5
What was the first man-made satellite?,"Sputnik 1, launched by the Soviet Union.",Sputnik.,1,5
What are meteorites?,Pieces of meteoroids that land on Earth's surface.,Fall on Earth.,1,5
What are meteors?,"Meteoroids that burn up in Earth's atmosphere, also called shooting stars.",They burn.,1,5
What are meteoroids?,Small rocks or particles in space.,Rocks in space.,1,5
What is an eclipse?,When one celestial body moves into the shadow of another.,One blocks another.,1,5
What is a solar eclipse?,When the Moon blocks the Sun's light from reaching Earth.,Sun is blocked.,1,5
What is a lunar eclipse?,When Earth blocks sunlight from reaching the Moon.,Moon is dark.,1,5
How long does the Moon take to orbit Earth?,About 27.3 days.,About a month.,1,5
What is the difference between a planet and a star?,A star produces its own light; a planet does not.,Star shines.,1,5
What is the Milky Way?,The galaxy that contains our solar system.,A big group of stars.,1,5
What galaxy is the solar system part of?,The Milky Way.,Milky Way.,1,5
What is space?,"The vast, empty region beyond Earth's atmosphere.",Big and empty.,1,5
Name the planet with the most tilted axis.,Uranus.,Uranus is tilted.,1,5
What is the habitable zone?,The region around a star where life-supporting conditions may exist.,Where life can be.,1,5
Why is Earth suitable for life?,"Because it has water, oxygen, and suitable temperature.",Earth has water.,1,5
What tool do astronomers use to study planets?,Telescopes.,Telescope helps.,1,5
What do space rovers do?,Explore surfaces of planets and send data back to Earth.,They move and study.,1,5
What is the water cycle?,"The water cycle is the continuous movement of water through evaporation, condensation, precipitation, and collection.",It's a circle of water.,0,5
What process changes water into vapor?,Evaporation.,Melting.,0,5
What is condensation?,The process where water vapor cools and changes back into liquid.,Water turns into gas.,0,5
What is precipitation?,"Water falling from the sky as rain, snow, sleet, or hail.",It's when water goes up.,0,5
Name the four main stages of the water cycle.,"Evaporation, condensation, precipitation, collection.","Rain, clouds, sun, wind.",0,5
What is collection in the water cycle?,"Water gathers in oceans, rivers, lakes, and the ground.",When water breaks.,0,5
What is evaporation?,The process by which water changes into vapor due to heat.,Water becomes ice.,0,5
How does the sun affect the water cycle?,It provides heat that causes evaporation.,The sun makes it snow.,0,5
What role do clouds play in the water cycle?,Clouds form through condensation and hold moisture before precipitation.,Clouds stop the rain.,0,5
What form does precipitation take?,"Rain, snow, sleet, or hail.",It is always water.,0,5
Why is the water cycle important?,It distributes water and supports all life on Earth.,It cleans the clouds.,0,5
Where does water collect after precipitation?,"Oceans, lakes, rivers, and underground.",In air.,0,5
What causes clouds to form?,Water vapor cools and condenses into tiny droplets.,The wind gathers water.,0,5
Can the water cycle occur without the sun?,"No, the sun provides energy for evaporation.","Yes, clouds make it happen.",0,5
How does water return to the Earth?,Through precipitation.,From the moon.,0,5
What is infiltration?,The process of water seeping into the ground.,When water floats.,0,5
What is transpiration?,Water released by plants into the air.,When plants eat water.,0,5
What is runoff?,Water flowing over land into bodies of water.,When rivers dry.,0,5
What drives the water cycle?,The sun's energy.,Rainfall.,0,5
What is groundwater?,Water stored beneath the Earth's surface.,Water above ground.,0,5
What happens to water after it evaporates?,It rises and condenses to form clouds.,It disappears forever.,0,5
What is the source of energy for evaporation?,The sun.,The clouds.,0,5
What does water vapor turn into during condensation?,Liquid water.,Ice.,0,5
Name a form of frozen precipitation.,"Snow, sleet, or hail.",Cold rain.,0,5
What happens during collection?,"Water gathers in bodies like lakes, oceans, and rivers.",Water flies in the air.,0,5
Why is evaporation faster on a hot day?,Because heat speeds up the process of water turning into vapor.,Cold makes it go fast.,0,5
What is the role of plants in the water cycle?,They release water vapor through transpiration.,Plants drink all the rain.,0,5
How does water enter the atmosphere?,Through evaporation and transpiration.,It falls from the ground.,0,5
What is water vapor?,Water in gas form.,Water that is fog.,0,5
Where does most of Earth's evaporation happen?,Oceans.,Forests.,0,5
What causes rain to fall from clouds?,Water droplets combine and become heavy.,Wind blows it down.,0,5
How does the water cycle clean water?,Evaporation leaves impurities behind.,Water becomes clean in clouds.,0,5
What is the difference between evaporation and boiling?,"Evaporation happens at all temperatures, boiling happens at a specific high temperature.",Boiling is cold.,0,5
How does gravity help in the water cycle?,It pulls precipitation down and helps water flow in rivers.,Gravity makes it snow.,0,5
Which stage of the water cycle forms dew?,Condensation.,Evaporation.,0,5
What is fog?,A cloud that forms near the ground.,Rain in the sky.,0,5
How is snow different from rain?,"Snow is frozen precipitation, rain is liquid.",Snow is made of cotton.,0,5
What helps water seep into the ground?,Infiltration.,Condensation.,0,5
Why are oceans important in the water cycle?,They provide most of the evaporated water.,Oceans store clouds.,0,5
Can water cycle through animals?,"Yes, through processes like respiration and urination.","No, only trees cycle water.",0,5
Why do puddles dry up in the sun?,Because of evaporation.,Wind takes them.,0,5
What causes clouds to get darker before it rains?,They become full of water droplets.,The sun hides.,0,5
What is the role of lakes in the water cycle?,They collect water and allow evaporation.,Lakes make clouds.,0,5
"What does not belong in the water cycle: evaporation, baking, or precipitation?",Baking.,Evaporation.,0,5
What part of the water cycle happens in the sky?,Condensation and precipitation.,Infiltration.,0,5
Does the water cycle ever end?,"No, it is continuous.","Yes, after raining.",0,5
Can the water cycle cause flooding?,"Yes, during excessive precipitation.",Only wind causes floods.,0,5
What tool measures rainfall?,Rain gauge.,Thermometer.,0,5
Which stage cools down water vapor?,Condensation.,Evaporation.,0,5
What do we call water under the ground?,Groundwater.,Low water.,0,5
Why is water important for living things?,It is needed for survival and life processes.,Water is not used much.,0,5
What is a cycle?,A sequence that repeats over and over.,A type of wheel.,0,5
Where does the water cycle begin?,It has no beginning; it's a continuous cycle.,From rain only.,0,5
What collects more water ' a pond or an ocean?,An ocean.,A pond.,0,5
What happens if evaporation stops?,The water cycle will be disrupted.,It snows more.,0,5
How do animals contribute to the water cycle?,By breathing and releasing moisture.,Animals don't help.,0,5
